Number,Title,Type,Culture,set,group,Twilight,STR,HP,RES,Signate,Site,Game text,Key Word 1,Key Word 2,Key Word 3,,Link
0AFD,"•Faramir, Captain of Ithilien (AFD)",Companion • Man,Gondor,0,,3,7,3,7,,,"Ranger. Hunter 2. When you play Faramir, Shadow players cannot play minions until the end of the turn. The move limit is +2. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00afd
0D09,Breeding Pit of Isengard (D),Site,Site,0,,0,,,,,,"Underground.  The twilight cost of the first hunter minion played each Shadow phase is -2. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d09
0D1,Buckland Homestead (D),Site,Site,0,,0,,,,,,"Dwelling. Shadow: Play a Nazgul to discard a condition from play. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d01
0D10,City of Kings (D),Site,Site,0,,3,,,,,,"Battleground.  When the fellowship moves to this site during the regroup phase, the Free Peoples player may draw a card.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d10
0D11,Pinnacle of Zirakzigil (D),Site,Site,0,,3,,,,,,"Mountain.  At the start of your fellowship phase, you may exert 3 companions to play a Wizard from your dead pile.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d11
0D12,The Prancing Pony (D),Site,Site,0,,3,,,,,,"Dwelling.  At the start of your fellowship phase, you may add a burden to play a ranger from your draw deck.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d12
0D13,Falls of Rauros (D),Site,Site,0,,3,,,,,,"River.  When the fellowship moves to this site in region 2, the Free Peoples player places a card from the dead pile out of play.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d13
0D14,Imladris (D),Site,Site,0,,3,,,,,,"River. When the fellowship moves to this site, if it is a sanctuary, remove 2 burdens.
",,,,,https://lotrtcgwiki.com/wiki/lotr00d14
0D16,"•Arwen, Maiden of Rivendell (D)",Companion • Elf,Elven,0,,2,9,4,6,Aragorn,,"Ranger. Archer. Skirmish: Exert Arwen to make a minion skirmishing an Elf strength -2. While you can spot an Elf, Arwen is twilight cost -1. While skirmishing a Nazgul, Arwen is strength +3. Fellowship: Exert an Elf to draw a card. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d16
0D17,"•Gandalf, Stormcrow (D)",Companion • Wizard,Gandalf,0,,3,10,4,6,Gandalf,,"Damage +3. Defender +3. Skirmish: Exert Gandalf to make a companion strength +1. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d17
0D2,Caras Galadhon (D),Site,Site,0,,2,,,,,,"Forest. No more than 1 minion can be assigned to each skirmish. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d02
0D20,"•Saruman, Many-coloured Wizard (D)",Minion • Wizard,Isengard,0,,4,11,4,,,,"Damage +3. Fierce. Assignment: Exert Saruman to assign him to an unbound companion. Skirmish: Exert Saruman to make him strength +1. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d20
0D21,Moria Skirmishers (D),Minion • Orc,Moria,0,,3,11,4,,,,"Archer. Each time Moria Skirmishers wins a skirmish, you may exert a companion. While skirmishing an Elf or a Dwarf, Moria Skirmishers is strength +2. Shadow: Discard this minion to play a [Moria] minion. That minion&#039;s twilight cost is -10. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d21
0D23,"•Eomer, Forthwith Banished (D)",Companion • Man,Rohan,0,74,2,10,6,6,,,"Valiant. Damage +3. Fellowship: Exert Eomer to play a mount on him from your draw deck. Eomer is strength +2 for each wound on each minion he is skirmishing. At the start of your turn, you may heal a [Rohan] ally. While you can spot a [Rohan] man, Eomer is twilight cost -1. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d23
0D24,Morgul Patrol (D),Minion • Orc,Sauron,0,,3,12,3,,,,"Besieger. Tracker. The site number of each [Sauron] Orc is -3. Response: If Morgul Patrol wins a skirmish, exert it to make it fierce until the regroup phase. Skirmish: Exert Morgul Patrol to wound a character it is skirmishing. Regroup: Exert Morgul Patrol to make the Free Peoples player exert X companions, where X is the number of burdens you can spot. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d24
0D3,Cavern Entrance (D),Site,Site,0,,1,,,,,,"Underground. Skirmish special abilities cannot be used. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d03
0D4,Neekerbreekers' Bog (D),Site,Site,0,,1,,,,,,"Marsh. When the fellowship moves to here, heal each character who has resistance 5 or more and exert each other character. 
",,,,,https://lotrtcgwiki.com/wiki/lotr00d04
