"","Name","Set_Name","Classifications","Abilities","Color","Franchise","Cost","Inkable","Type","Lore","Rarity","Body_Text","Willpower","Strength","Move_Cost"
"1","Baloo - von Bruinwald XIII","Into the Inklands","Dreamborn, Hero","Bodyguard","Amber","",3,FALSE,"Character",1,"Rare","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Let's Make Like A Tree - When this character is banished, gain 2 lore.",3,0,NA
"2","Bernard - Brand-New Agent","Into the Inklands","Storyborn, Hero",NA,"Amber","",4,TRUE,"Character",2,"Rare","I'll Check It Out - At the end of your turn, if this character is exerted, you may ready another chosen character of yours.",5,1,NA
"3","Chernabog - Evildoer","Into the Inklands","Storyborn, Villain",NA,"Amber","",10,FALSE,"Character",3,"Super Rare","The Power Of Evil - For each character card in your discard, you pay 1{i} less to play this character.

Summon The Spirits - When you play this character, shuffle all character cards from your discard into your deck.",9,9,NA
"4","Dalmatian Puppy - Tail Wagger","Into the Inklands","Storyborn, Puppy",NA,"Amber","",2,TRUE,"Character",1,"Common","Where Did They All Come From? - You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.",3,2,NA
"5","Joshua Sweet - The Doctor","Into the Inklands","Storyborn, Ally","Bodyguard","Amber","",4,TRUE,"Character",2,"Common","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",5,1,NA
"6","Kida - Atlantean","Into the Inklands","Storyborn, Hero, Princess",NA,"Amber","",1,TRUE,"Character",1,"Common",NA,2,2,NA
"7","Kida - Protector of Atlantis","Into the Inklands","Floodborn, Hero, Princess","Shift 3","Amber","",5,TRUE,"Character",2,"Legendary","Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kida.)

Perhaps We Can Save Our Future - When you play this character, all characters get -3{s} until the start of your next turn.",5,3,NA
"8","Lucky - The 15th Puppy","Into the Inklands","Storyborn, Puppy",NA,"Amber","",4,FALSE,"Character",1,"Rare","Good As New - {e}: Reveal the top 3 cards of your deck. You may put each character card with cost 2 or less into your hand. Put the rest on the bottom of your deck in any order.

Puppy Love - Whenever this character quests, if you have 4 or more other characters in play, your other characters get +1{l} this turn.",3,2,NA
"9","Minnie Mouse - Musical Artist","Into the Inklands","Dreamborn, Hero","Singer 3, Bodyguard","Amber","",2,TRUE,"Character",1,"Rare","Singer 3 (This character counts as cost 3 to sing songs.)

Entourage - Whenever you play a character with Bodyguard, you may remove up to 2 damage from chosen character.",3,1,NA
"10","Miss Bianca - Rescue Aid Society Agent","Into the Inklands","Storyborn, Hero","Singer 4","Amber","",2,TRUE,"Character",1,"Common","Singer 4 (This character counts as cost 4 to sing songs.)",2,2,NA
"11","Mr. Snoops - Inept Businessman","Into the Inklands","Dreamborn, Ally",NA,"Amber","",6,TRUE,"Character",2,"Common",NA,8,4,NA
"12","Nani - Protective Sister","Into the Inklands","Storyborn, Hero","Bodyguard","Amber","",5,TRUE,"Character",2,"Uncommon","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",6,3,NA
"13","Orville - Ace Pilot","Into the Inklands","Storyborn, Ally",NA,"Amber","",2,TRUE,"Character",1,"Common",NA,4,1,NA
"14","Patch - Intimidating Pup","Into the Inklands","Storyborn, Puppy",NA,"Amber","",4,TRUE,"Character",1,"Common","Bark - {e}: Chosen character gets -2{p} until the start of your next turn.",4,3,NA
"15","Perdita - Devoted Mother","Into the Inklands","Storyborn, Hero",NA,"Amber","",6,FALSE,"Character",2,"Legendary","Come Along, Children - When you play this character and whenever she quests, you may play a character with cost 2 or less from your discard for free.",6,1,NA
"16","Piglet - Pooh Pirate Captain","Into the Inklands","Dreamborn, Hero, Pirate, Captain",NA,"Amber","",2,TRUE,"Character",1,"Super Rare","And I'm The Captain! - While you have 2 or more other characters in play, this character gets +2{l}.",2,2,NA
"17","Pluto - Determined Defender","Into the Inklands","Floodborn, Ally","Shift 5, Bodyguard","Amber","",7,TRUE,"Character",2,"Rare","Shift 5 (You may pay 5{i} to play this on top of one of your characters named Pluto.)

Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Guard Dog - At the start of your turn, remove up to 3 damage from this character.",8,3,NA
"18","Pluto - Friendly Pooch","Into the Inklands","Storyborn, Ally",NA,"Amber","",1,FALSE,"Character",1,"Uncommon","Good Dog - {e}: You pay 1{i} less for the next character you play this turn.",2,0,NA
"19","Pongo - Determined Father","Into the Inklands","Storyborn, Hero",NA,"Amber","",3,TRUE,"Character",1,"Super Rare","Twilight Bark - Once per turn, you may pay 2{i} to reveal the top card of your deck. If it's a character card, put it into your hand. Otherwise, Put it on the bottom of your deck.",2,3,NA
"20","Queen of Hearts - Wonderland Empress","Into the Inklands","Dreamborn, Villain, Queen",NA,"Amber","",3,TRUE,"Character",1,"Uncommon","All Ways Here Are My Ways - Whenever this character quests, your other Villain characters get +1{l} this turn.",3,3,NA
"21","Rolly - Hungry Pup","Into the Inklands","Storyborn, Puppy","Support","Amber","",3,TRUE,"Character",1,"Uncommon","Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",3,3,NA
"22","Tinker Bell - Generous Fairy","Into the Inklands","Storyborn, Ally, Fairy",NA,"Amber","",4,FALSE,"Character",1,"Uncommon","Make A New Friend - When you play this character, look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of our deck in any order.",4,1,NA
"23","Wendy Darling - Talented Sailor","Into the Inklands","Dreamborn, Hero",NA,"Amber","",2,TRUE,"Character",2,"Uncommon",NA,3,1,NA
"24","99 Puppies","Into the Inklands",NA,NA,"Amber","",5,FALSE,"Action",NA,"Uncommon","Whenever one of your characters quests this turn, gain 1 lore.",NA,NA,NA
"25","Boss's Orders","Into the Inklands",NA,"Support","Amber","",1,TRUE,"Action",NA,"Common","Chosen character gains Support this turn. (Whenever they quest, you may add their {s} to another chosen character's {s} this turn.)",NA,NA,NA
"26","Heal What Has Been Hurt","Into the Inklands",NA,NA,"Amber","",3,TRUE,"Action - Song",NA,"Common","(A character with cost 3 or more can {e} to sing this song for free.)

Remove up to 3 damage from chosen character. Draw a card.",NA,NA,NA
"27","Quick Patch","Into the Inklands",NA,NA,"Amber","",1,TRUE,"Action",NA,"Common","Remove up to 3 damage from chosen location",NA,NA,NA
