"","Artist","Set_Name","Classifications","Abilities","Set_Num","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Unique_ID","Card_Num","Body_Text","Willpower","Strength","Set_ID","Flavor_Text","Card_Variants","Move_Cost"
"1","Cam Kendell","Into the Inklands","Dreamborn, Hero","Bodyguard",3,"Amber","","https://lorcana-api.com/images/baloo/von_bruinwald_xiii/baloo-von_bruinwald_xiii-large.png",3,FALSE,"Baloo - von Bruinwald XIII","Character",1,"Rare","INK-001",1,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Let's Make Like A Tree - When this character is banished, gain 2 lore.",3,0,"INK",NA,NA,NA
"2","Jacob McAlister","Into the Inklands","Storyborn, Hero",NA,3,"Amber","","https://lorcana-api.com/images/bernard/brand-new_agent/bernard-brand-new_agent-large.png",4,TRUE,"Bernard - Brand-New Agent","Character",2,"Rare","INK-002",2,"I'll Check It Out - At the end of your turn, if this character is exerted, you may ready another chosen character of yours.",5,1,"INK","""You stay there. I'll look for scattered lore.""",NA,NA
"3","Evana Kisa, Jochem van Gool","Into the Inklands","Storyborn, Villain",NA,3,"Amber","","https://lorcana-api.com/images/chernabog/evildoer/chernabog-evildoer-large.png",10,FALSE,"Chernabog - Evildoer","Character",3,"Super Rare","INK-003",3,"The Power Of Evil - For each character card in your discard, you pay 1{i} less to play this character.

Summon The Spirits - When you play this character, shuffle all character cards from your discard into your deck.",9,9,"INK","Darkness calls to minions everywhere","(enchanted, placeholder)",NA
"4","Kapik","Into the Inklands","Storyborn, Puppy",NA,3,"Amber","","https://lorcana-api.com/images/dalmatian_puppy/tail_wagger/dalmatian_puppy-tail_wagger-large.png",2,TRUE,"Dalmatian Puppy - Tail Wagger","Character",1,"Common","INK-004",4,"Where Did They All Come From? - You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.",3,2,"INK","First they steal your heart. Then they steal your chair.","(card_num:4b, placeholder),
(card_num:4c, placeholder),
(card_num:4d, placeholder),
(card_num:4e, placeholder)",NA
"5","Jeanne Plounevez","Into the Inklands","Storyborn, Ally","Bodyguard",3,"Amber","","https://lorcana-api.com/images/joshua_sweet/the_doctor/joshua_sweet-the_doctor-large.png",4,TRUE,"Joshua Sweet - The Doctor","Character",2,"Common","INK-005",5,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",5,1,"INK","""Heading out into the Inklands? Come on back if you need patching up.""",NA,NA
"6","Nicoletta Baldari","Into the Inklands","Storyborn, Hero, Princess",NA,3,"Amber","","https://lorcana-api.com/images/kida/atlantean/kida-atlantean-large.png",1,TRUE,"Kida - Atlantean","Character",1,"Common","INK-006",6,NA,2,2,"INK","Welcome to the Inklands.",NA,NA
"7","Adam Fenton","Into the Inklands","Floodborn, Hero, Princess","Shift 3",3,"Amber","","https://lorcana-api.com/images/kida/protector_of_atlantis/kida-protector_of_atlantis-large.png",5,TRUE,"Kida - Protector of Atlantis","Character",2,"Legendary","INK-007",7,"Shift 3 (You may pay 3{i} to play this on top of one of your characters named Kida.)

Perhaps We Can Save Our Future - When you play this character, all characters get -3{s} until the start of your next turn.",5,3,"INK","""She has been chosen."" - King Kashekim Nedakh","(enchanted, placeholder)",NA
"8","Brian Weisz","Into the Inklands","Storyborn, Puppy",NA,3,"Amber","","https://lorcana-api.com/images/lucky/the_15th_puppy/lucky-the_15th_puppy-large.png",4,FALSE,"Lucky - The 15th Puppy","Character",1,"Rare","INK-008",8,"Good As New - {e}: Reveal the top 3 cards of your deck. You may put each character card with cost 2 or less into your hand. Put the rest on the bottom of your deck in any order.

Puppy Love - Whenever this character quests, if you have 4 or more other characters in play, your other characters get +1{l} this turn.",3,2,"INK",NA,NA,NA
"9","Erika Wiseman","Into the Inklands","Dreamborn, Hero","Singer 3, Bodyguard",3,"Amber","","https://lorcana-api.com/images/minnie_mouse/musical_artist/minnie_mouse-musical_artist-large.png",2,TRUE,"Minnie Mouse - Musical Artist","Character",1,"Rare","INK-009",9,"Singer 3 (This character counts as cost 3 to sing songs.)

Entourage - Whenever you play a character with Bodyguard, you may remove up to 2 damage from chosen character.",3,1,"INK","Her musical talents are off the charts!",NA,NA
"10","Jeff Merghart","Into the Inklands","Storyborn, Hero","Singer 4",3,"Amber","","https://lorcana-api.com/images/miss_bianca/rescue_aid_society_agent/miss_bianca-rescue_aid_society_agent-large.png",2,TRUE,"Miss Bianca - Rescue Aid Society Agent","Character",1,"Common","INK-010",10,"Singer 4 (This character counts as cost 4 to sing songs.)",2,2,"INK","""Our society has never failed to answer a call for help.""
-Mr. Chairman",NA,NA
"11","Alexandria Neonakis","Into the Inklands","Dreamborn, Ally",NA,3,"Amber","","https://lorcana-api.com/images/mr._snoops/inept_businessman/mr._snoops-inept_businessman-large.png",6,TRUE,"Mr. Snoops - Inept Businessman","Character",2,"Common","INK-011",11,NA,8,4,"INK","""This is simple, Snoops! I want that lore! The one that shines like a diamond!""
-Madame Medusa",NA,NA
